instance,min_fitness,max_fitness,mean,optimum
OR5x500_0,gwo,120029,120116,120073.66666666667,0
OR5x500_0,slms,119845,120036,119948.0,0
OR5x500_1,gwo,120725,120854,120787.76666666666,0
OR5x500_1,slms,120549,120650,120627.6,0
OR5x500_2,gwo,123133,123276,123190.8,0
OR5x500_2,slms,122547,123036,122914.86666666667,0
OR5x500_3,gwo,122051,122207,122136.0,0
OR5x500_3,slms,121037,121735,121391.66666666667,0
OR5x500_4,gwo,122210,122280,122249.96666666666,0
OR5x500_4,slms,122157,122280,122201.5,0
OR5x500_5,gwo,120192,120370,120282.73333333334,0
OR5x500_5,slms,119504,120079,119806.4,0
OR5x500_6,gwo,119588,119731,119651.06666666667,0
OR5x500_6,slms,119161,119619,119368.3,0
OR5x500_7,gwo,119057,119145,119114.33333333333,0
OR5x500_7,slms,118826,119000,118872.5,0
OR5x500_8,gwo,120253,120349,120312.7,0
OR5x500_8,slms,120011,120190,120138.9,0
OR5x500_9,gwo,119512,119603,119576.23333333334,0
OR5x500_9,slms,119198,119452,119353.3,0
OR5x500_10,gwo,219645,219735,219729.96666666667,0
OR5x500_10,slms,218755,219349,219130.33333333334,0
OR5x500_11,gwo,220228,220584,220465.96666666667,0
OR5x500_11,slms,218838,219435,219149.23333333334,0
OR5x500_12,gwo,219458,219717,219568.26666666666,0
OR5x500_12,slms,217786,218788,218487.93333333332,0
OR5x500_13,gwo,221423,221700,221569.73333333334,0
OR5x500_13,slms,219798,220607,220286.8,0
OR5x500_14,gwo,217929,218217,218032.93333333332,0
OR5x500_14,slms,216266,217482,216836.4,0
OR5x500_15,gwo,220195,220471,220335.03333333333,0
OR5x500_15,slms,218917,219775,219269.06666666668,0
OR5x500_16,gwo,217888,218062,217956.36666666667,0
OR5x500_16,slms,216808,217568,217277.26666666666,0
OR5x500_17,gwo,217343,217907,217744.7,0
OR5x500_17,slms,215278,216658,215976.9,0
OR5x500_18,gwo,218893,219562,219218.86666666667,0
OR5x500_18,slms,217555,218248,217818.16666666666,0
OR5x500_19,gwo,220616,221071,220823.86666666667,0
OR5x500_19,slms,217769,219453,218774.63333333333,0
OR5x500_20,gwo,300659,301015,300868.43333333335,0
OR5x500_20,slms,296782,299237,297956.43333333335,0
OR5x500_21,gwo,303028,303701,303411.63333333336,0
OR5x500_21,slms,298911,302273,300772.73333333334,0
OR5x500_22,gwo,300739,301795,301422.76666666666,0
OR5x500_22,slms,298553,299950,299244.0,0
OR5x500_23,gwo,302172,302997,302578.26666666666,0
OR5x500_23,slms,296988,301158,298653.5,0
OR5x500_24,gwo,297381,299038,298481.06666666665,0
OR5x500_24,slms,293360,296679,294369.4666666667,0
OR5x500_25,gwo,299073,299866,299466.6666666667,0
OR5x500_25,slms,292844,297452,295466.06666666665,0
OR5x500_26,gwo,299043,299642,299308.6666666667,0
OR5x500_26,slms,296675,298215,297453.26666666666,0